lg_id,lg_name,lg_cd2,lg_cd3
1,Абхазский,ab,abk
2,Аварский,av,ava
3,Авестийский,ae,ave
4,Азербайджанский,az,aze
5,Аймара,ay,aym
6,Акан,ak,aka
7,Албанский,sq,sqi
8,Амхарский,am,amh
9,Английский,en,eng
10,Арабский,ar,ara
11,Арагонский,an,arg
12,Армянский,hy,hye
13,Ассамский,as,asm
14,Афарский,aa,aar
15,Африкаанс,af,afr
16,Бамбара,bm,bam
17,Баскский,eu,eus
18,Башкирский,ba,bak
19,Белорусский,be,bel
20,Бенгальский,bn,ben
21,Бирманский,my,mya
22,Бислама,bi,bis
23,Бихарский,bh,bih
24,Болгарский,bg,bul
25,Боснийский,bs,bos
26,Бретонский,br,bre
27,Валлийский,cy,cym
28,Валлонский,wa,wln
29,Венгерский,hu,hun
30,Венда,ve,ven
31,Волапюк,vo,vol
32,Волоф,wo,wol
33,Вьетнамский,vi,vie
34,Гаитянский креольский,ht,hat
35,Галисийский,gl,glg
36,Гальский,gd,gla
37,Ганда,lg,lug
38,Гереро,hz,her
39,Голландский,nl,nld
40,Гренландский,kl,kal
41,Греческий (новогреческий),el,ell
42,Грузинский,ka,kat
43,Гуарани,gn,grn
44,Гуджарати,gu,guj
45,Датский,da,dan
46,Дзонг-кэ,dz,dzo
47,Дивехи (Мальдивский),dv,div
48,Зулу,zu,zul
49,Иврит (современный),he,heb
50,Игбо,ig,ibo
51,Идиш,yi,yid
52,Идо,io,ido
53,Индонезийский,id,ind
54,Интерлингва,ia,ina
55,Интерлингве,ie,ile
56,Инуктитут,iu,iku
57,Инупиак,ik,ipk
58,Ирландский,ga,gle
59,Исландский,is,isl
60,Испанский,es,spa
61,Итальянский,it,ita
62,Йоруба,yo,yor
63,Казахский,kk,kaz
64,Каннада,kn,kan
65,Канури,kr,kau
66,Каталонский,ca,cat
67,Кашмири,ks,kas
68,Кечуа,qu,que
69,Кикуйю,ki,kik
70,Киньяма,kj,kua
71,Киргизский,ky,kir
72,Китайский,zh,zho
73,Коми,kv,kom
74,Конго,kg,kon
75,Корейский,ko,kor
76,Корнский,kw,cor
77,Корсиканский,co,cos
78,Коса,xh,xho
79,Кри,cr,cre
80,Курдский,ku,kur
81,Кхмерский,km,khm
82,Лаосский,lo,lao
83,Латвийский,lv,lav
84,Латинский,la,lat
85,Лимбургский,li,lim
86,Лингала,ln,lin
87,Литовский,lt,lit
88,Луба-катанга,lu,lub
89,Люксембургский,lb,ltz
90,Македонский,mk,mkd
91,Малагасийский,mg,mlg
92,Малайский,ms,msa
93,Малаялам,ml,mal
94,Мальтийский,mt,mlt
95,Маори,mi,mri
96,Маратхи,mr,mar
97,Маршалльский,mh,mah
98,Монгольский,mn,mon
99,Мэнский,gv,glv
100,Навахо,nv,nav
101,Науру,na,nau
102,Ндебеле северный,nd,nde
103,Ндебеле южный,nr,nbl
104,Ндунга,ng,ndo
105,Немецкий,de,deu
106,Непальский,ne,nep
107,Норвежский,no,nor
108,Норвежский (букмол),nb,nob
109,Норвежский (нюнорск),nn,nno
110,Носу,ii,iii
111,Ньянджа,ny,nya
112,Оджибве,oj,oji
113,Окситанский,oc,oci
114,Ория,or,ori
115,Оромо,om,orm
116,Осетинский,os,oss
117,Пали,pi,pli
118,Пенджабский,pa,pan
119,Персидский,fa,fas
120,Польский,pl,pol
121,Португальский,pt,por
122,Пушту,ps,pus
123,Ретороманский,rm,roh
124,Руанда,rw,kin
125,Румынский,ro,ron
126,Рунди,rn,run
127,Русский,ru,rus
128,Самоанский,sm,smo
129,Санго,sg,sag
130,Санскрит,sa,san
131,Сардинский,sc,srd
132,Свати,ss,ssw
133,Северносаамский,se,sme
134,Сербский,sr,srp
135,Сингальский,si,sin
136,Синдхи,sd,snd
137,Словацкий,sk,slk
138,Словенский,sl,slv
139,Сомали,so,som
140,Сото южный,st,sot
141,Суахили,sw,swa
142,Сунданский,su,sun
143,Тагальский,tl,tgl
144,Таджикский,tg,tgk
145,Таитянский,ty,tah
146,Тайский,th,tha
147,Тамильский,ta,tam
148,Татарский,tt,tat
149,Тви,tw,twi
150,Телугу,te,tel
151,Тибетский,bo,bod
152,Тигринья,ti,tir
153,Тонганский,to,ton
154,Тсвана,tn,tsn
155,Тсонга,ts,tso
156,Турецкий,tr,tur
157,Туркменский,tk,tuk
158,Узбекский,uz,uzb
159,Уйгурский,ug,uig
160,Украинский,uk,ukr
161,Урду,ur,urd
162,Фарерский,fo,fao
163,Фиджи,fj,fij
164,Финский,fi,fin
165,Французский,fr,fra
166,Фризский,fy,fry
167,Фулах,ff,ful
168,Хауса,ha,hau
169,Хинди,hi,hin
170,Хиримоту,ho,hmo
171,Хорватский,hr,hrv
172,Церковнославянский (старославянский),cu,chu
173,Чаморро,ch,cha
174,Чеченский,ce,che
175,Чешский,cs,ces
176,Чжуанский,za,zha
177,Чувашский,cv,chv
178,Шведский,sv,swe
179,Шона,sn,sna
180,Эве,ee,ewe
181,Эсперанто,eo,epo
182,Эстонский,et,est
183,Яванский,jv,jav
184,Японский,ja,jpn
